S&P/ASX 100 Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
APT,Afterpay Ltd,Information Technology,"12,767,000,000",0.84,,"1,525,445,110,000",
AGL,AGL Energy Ltd,Utilities,"10,537,700,000",0.69,,,
ALQ,Als Ltd,Industrials,"3,401,100,000",0.22,,Sector Breakdown,
ALU,Altium Ltd,Information Technology,"4,886,330,000",0.32,,Consumer Discretionary,5.99
AWC,Alumina Ltd,Materials,"4,362,960,000",0.29,,Consumer Staples,5.99
AMC,Amcor Plc,Materials,"14,532,200,000",0.95,,Energy,4.75
AMP,AMP Ltd,Financials,"5,756,300,000",0.38,,Financials,27.24
ANN,Ansell Ltd,Health Care,"4,596,140,000",0.3,,Health Care,12.1
APA,APA Group,Utilities,"13,592,400,000",0.89,,Industrials,7.68
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,908,600,000",1.11,,Information Technology,3
ASX,ASX Ltd,Financials,"17,015,100,000",1.12,,Materials,19.98
ALX,Atlas Arteria,Industrials,"5,802,580,000",0.38,,Real Estate,6.23
AZJ,Aurizon Holdings Ltd,Industrials,"9,180,470,000",0.6,,Telecommunication Services,3.01
AST,Ausnet Services Ltd,Utilities,"6,521,970,000",0.43,,Utilities,2.25
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"51,193,000,000",3.36,,,
BOQ,Bank of Queensland Ltd,Financials,"2,380,720,000",0.16,,,
BPT,Beach Energy Ltd,Energy,"3,808,950,000",0.25,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,291,010,000",0.22,,,
BHP,BHP Group Ltd,Materials,"105,196,000,000",6.9,,,
BSL,Bluescope Steel Ltd,Materials,"5,639,540,000",0.37,,,
BLD,Boral Ltd,Materials,"4,069,170,000",0.27,,,
BXB,Brambles Ltd,Industrials,"17,635,900,000",1.16,,,
CTX,Caltex Australia Ltd,Energy,"6,322,580,000",0.41,,,
CAR,Carsales.com Ltd,Communication Services,"3,995,770,000",0.26,,,
CGF,Challenger Ltd,Financials,"3,024,760,000",0.2,,,
CHC,Charter Hall Group,Real Estate,"4,541,330,000",0.3,,,
CIM,Cimic Group Ltd,Industrials,"8,169,790,000",0.54,,,
CWY,Cleanaway Waste Management Ltd,Industrials,"4,087,350,000",0.27,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,298,800,000",0.41,,,
COH,Cochlear Ltd,Health Care,"12,744,000,000",0.84,,,
COL,Coles Group Ltd,Consumer Staples,"20,649,200,000",1.35,,,
CBA,Commonwealth Bank of Australia,Financials,"113,118,000,000",7.42,,,
CPU,Computershare Ltd,Information Technology,"7,177,470,000",0.47,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,"6,541,350,000",0.43,,,
CSL,CSL Ltd,Health Care,"129,254,000,000",8.47,,,
DXS,Dexus,Real Estate,"10,017,200,000",0.66,,,
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"5,357,120,000",0.35,,,
DOW,Downer Edi Ltd,Industrials,"2,670,210,000",0.18,,,
EVN,Evolution Mining Ltd,Materials,"10,737,800,000",0.7,,,
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"2,715,050,000",0.18,,,
FMG,Fortescue Metals Group Ltd,Materials,"45,537,900,000",2.99,,,
GMG,Goodman Group,Real Estate,"28,139,300,000",1.84,,,
GPT,GPT Group,Real Estate,"7,791,720,000",0.51,,,
ILU,Iluka Resources Ltd,Materials,"3,606,230,000",0.24,,,
IPL,Incitec Pivot Ltd,Materials,"3,807,750,000",0.25,,,
IAG,Insurance Australia Group Ltd,Financials,"13,935,600,000",0.91,,,
JHX,James Hardie Industries Plc,Materials,"11,690,200,000",0.77,,,
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"4,360,970,000",0.29,,,
LLC,Lendlease Group,Real Estate,"8,688,540,000",0.57,,,
LNK,Link Administration Holdings Ltd,Information Technology,"2,163,740,000",0.14,,,
MQG,Macquarie Group Ltd,Financials,"39,155,600,000",2.57,,,
MFG,Magellan Financial Group Ltd,Financials,"10,668,900,000",0.7,,,
MPL,Medibank Private Ltd,Financials,"7,766,290,000",0.51,,,
MGR,Mirvac Group,Real Estate,"9,048,070,000",0.59,,,
NAB,National Australia Bank Ltd,Financials,"57,372,200,000",3.76,,,
NCM,Newcrest Mining Ltd,Materials,"25,395,500,000",1.66,,,
NHF,Nib Holdings Ltd,Financials,"2,096,800,000",0.14,,,
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"2,558,090,000",0.17,,,
NST,Northern Star Resources Ltd,Materials,"11,226,500,000",0.74,,,
OSH,Oil Search Ltd,Energy,"7,376,370,000",0.48,,,
ORI,Orica Ltd,Materials,"7,041,830,000",0.46,,,
ORG,Origin Energy Ltd,Energy,"10,708,200,000",0.7,,,
ORA,Orora Ltd,Materials,"3,233,920,000",0.21,,,
OZL,OZ Minerals Ltd,Materials,"3,121,930,000",0.2,,,
QAN,Qantas Airways Ltd,Industrials,"5,978,080,000",0.39,,,
QBE,QBE Insurance Group Ltd,Financials,"12,840,900,000",0.84,,,
QUB,QUBE Holdings Ltd,Industrials,"5,160,840,000",0.34,,,
RHC,Ramsay Health Care Ltd,Health Care,"15,941,600,000",1.05,,,
REA,REA Group Ltd,Communication Services,"13,540,300,000",0.89,,,
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,417,690,000",0.16,,,
RMD,Resmed Inc,Health Care,"8,585,750,000",0.56,,,
RIO,RIO Tinto Ltd,Materials,"36,093,400,000",2.37,,,
STO,Santos Ltd,Energy,"11,456,900,000",0.75,,,
SCG,Scentre Group,Real Estate,"11,366,900,000",0.75,,,
SEK,Seek Ltd,Communication Services,"7,129,440,000",0.47,,,
SHL,Sonic Healthcare Ltd,Health Care,"13,390,600,000",0.88,,,
S32,SOUTH32 Ltd,Materials,"9,450,220,000",0.62,,,
SKI,Spark Infrastructure Group,Utilities,"3,598,390,000",0.24,,,
SGP,Stockland,Real Estate,"8,416,760,000",0.55,,,
SUN,Suncorp Group Ltd,Financials,"11,588,100,000",0.76,,,
SYD,Sydney Airport,Industrials,"13,333,000,000",0.87,,,
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"6,605,010,000",0.43,,,
TLS,Telstra Corporation Ltd,Telecommunication Services,"38,296,400,000",2.51,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"12,806,500,000",0.84,,,
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"2,788,660,000",0.18,,,
TPM,TPG Telecom Ltd,Telecommunication Services,"7,663,720,000",0.5,,,
TCL,Transurban Group,Industrials,"39,358,100,000",2.58,,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,035,010,000",0.46,,,
URW,Unibail-Rodamco-Westfield,Real Estate,"1,012,960,000",0.07,,,
VCX,Vicinity Centres,Real Estate,"5,987,320,000",0.39,,,
VUK,Virgin Money Uk Plc,Financials,"1,624,130,000",0.11,,,
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,637,090,000",0.3,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"46,101,900,000",3.02,,,
WBC,Westpac Banking Corporation,Financials,"62,698,800,000",4.11,,,
WHC,Whitehaven Coal Ltd,Energy,"1,816,100,000",0.12,,,
WTC,Wisetech Global Ltd,Information Technology,"6,520,550,000",0.43,,,
WPL,Woodside Petroleum Ltd,Energy,"21,883,400,000",1.43,,,
WOW,Woolworths Group Ltd,Consumer Staples,"44,561,800,000",2.92,,,
WOR,Worley Ltd,Energy,"4,475,320,000",0.29,,,
XRO,Xero Ltd,Information Technology,"12,294,400,000",0.81,,,